record,doi,filename,size,checksum,url
17710093,10.5281/zenodo.17710093,paris_dwl_L3V1.42_2022_11_3600s.tar.gz,3749239,md5:78a9774b8acb86e842790f4ddea3b7a4,https://zenodo.org/api/records/17710093/files/paris_dwl_L3V1.42_2022_11_3600s.tar.gz/content
17710093,10.5281/zenodo.17710093,paris_dwl_L3V1.42_2022_07_3600s.tar.gz,5259726,md5:230576091b8cd1f3bea31c12347086b6,https://zenodo.org/api/records/17710093/files/paris_dwl_L3V1.42_2022_07_3600s.tar.gz/content
17710093,10.5281/zenodo.17710093,paris_dwl_L3V1.42_2022_08_3600s.tar.gz,5324879,md5:756b356f6d83a7d889038021b65e5af9,https://zenodo.org/api/records/17710093/files/paris_dwl_L3V1.42_2022_08_3600s.tar.gz/content
17710093,10.5281/zenodo.17710093,paris_dwl_L3V1.42_2022_06_3600s.tar.gz,3917657,md5:853bad1edb89471d235cf262918a095c,https://zenodo.org/api/records/17710093/files/paris_dwl_L3V1.42_2022_06_3600s.tar.gz/content
17710093,10.5281/zenodo.17710093,paris_dwl_L3V1.42_2022_11_600s.tar.gz,9207072,md5:1dc18e36a186dc9dc85fb04361022b69,https://zenodo.org/api/records/17710093/files/paris_dwl_L3V1.42_2022_11_600s.tar.gz/content
17710093,10.5281/zenodo.17710093,paris_dwl_L3V1.42_2022_12_3600s.tar.gz,3370016,md5:41ae2ba7a1a9110b98bbec8afa0c4b3e,https://zenodo.org/api/records/17710093/files/paris_dwl_L3V1.42_2022_12_3600s.tar.gz/content
17710093,10.5281/zenodo.17710093,paris_dwl_L3V1.42_2022_12_600s.tar.gz,10040498,md5:2e958c6779dac039c5b2d3a07ddeb472,https://zenodo.org/api/records/17710093/files/paris_dwl_L3V1.42_2022_12_600s.tar.gz/content
17710093,10.5281/zenodo.17710093,paris_dwl_L3V1.42_2022_09_600s.tar.gz,17738538,md5:555d99fd6a3b0341471f0c49f059fc0e,https://zenodo.org/api/records/17710093/files/paris_dwl_L3V1.42_2022_09_600s.tar.gz/content
17710093,10.5281/zenodo.17710093,paris_dwl_L3V1.42_2022_10_600s.tar.gz,14426495,md5:af2fd98aad88bc1308bec3a2e4799063,https://zenodo.org/api/records/17710093/files/paris_dwl_L3V1.42_2022_10_600s.tar.gz/content
17710093,10.5281/zenodo.17710093,paris_dwl_L3V1.42_2022_07_600s.tar.gz,17239601,md5:df77e9e0f80d6c9ae221a22895a01296,https://zenodo.org/api/records/17710093/files/paris_dwl_L3V1.42_2022_07_600s.tar.gz/content
17710093,10.5281/zenodo.17710093,paris_dwl_L3V1.42_2022_09_3600s.tar.gz,5569972,md5:f5181d6482807885d2427da6d3065984,https://zenodo.org/api/records/17710093/files/paris_dwl_L3V1.42_2022_09_3600s.tar.gz/content
17710093,10.5281/zenodo.17710093,paris_dwl_L3V1.42_2022_08_600s.tar.gz,17316468,md5:5956a7d70834a4b6fff7f484680374aa,https://zenodo.org/api/records/17710093/files/paris_dwl_L3V1.42_2022_08_600s.tar.gz/content
